Agent Name,Address,District,City,Latitude,Longitude
Kawsar Store,Chandpai- মংলা- বাংলাদেশ,চন্দ্রপাই,মংলা,22.49521,89.64367
NASIM TELECOM,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
FATEMA NUSRAT NUR TELECOM,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Arafat Cycle Garage,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Shahjada Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
MAYER DOYA COMPUTER,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Ma Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S Antara Enterprise,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Tusar Electronics,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
URMY TELECOM,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Nazad Store,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Eight Brothers Pharmacy,Bahirdia- ফকিরহাট- বাংলাদেশ,বাহিরদিয়া,ফকিরহাট,22.78638,89.68096
Latif Store,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Rohan Store,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Mariya Telecom,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Sheikh Store And Telecom,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Nur Telecom,Khanjahan Ali Mazar Road- বাগেরহাট- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.67147,89.76037
M/S GONI STORE,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
URMI TELECOM,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Rezeya Telecom,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Abid Store,Chandpai- মংলা- বাংলাদেশ,চন্দ্রপাই,মংলা,22.49521,89.64367
MIM TELECOM,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
M/S SAJIB ENTERPRISE,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79148,89.87604
Sumon Store,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
MA COMPUTER AND TECHNOLOGY,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Chandmukh Mobile Zone,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Yunus Store,Chandpai- মংলা- বাংলাদেশ,চন্দ্রপাই,মংলা,22.49521,89.64367
PRODHIP STORE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Sheik Emadul Haque Store,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
GIAS STORE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Sarnaly Telecom,Gotapara- বাগেরহাট সদর- বাংলাদেশ,গোটপারা,বাগেরহাট সদর,22.68844,89.80094
MODERN COMMUNICATION,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
Tanha Enterprise,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Gihad Tailors,Raenda- স্বরণখোলা- বাংলাদেশ,রায়েন্দা,স্বরণখোলা,22.29992,89.84794
MAA TELECOM,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Solaiman Telecom-1,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
M/S JISAN STORE,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
M/S Khan Enterprise,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
ALVE ENTERPRISE,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Shikar Enterprise,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
M/S Ma Medical Hall,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
A R S COMPUTER,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
ASLAM STORE,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
SUJAN TELECOM,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
G R S TELECOM,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Sonali Telecom,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Maa Telecom,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
M/S Likhon And Anurag Enterprise O Telecom,Chandpai- মংলা- বাংলাদেশ,চন্দ্রপাই,মংলা,22.49521,89.64367
M/S Nirob Pharmacy,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Tuba Varieties Store,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
Sohag Telecom,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
SUMIT AGRO COMPLEX,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
AL AMIN LIBRARY,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Aslam Telecom,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Raisa Medical Hall,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Shyad Enterprise,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Mihmuna Enterprise,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Angkor Enterprise,Jatrapur Bazar Main Road- বাগেরহাট- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.68955,89.76429
Dr Bashar Pharmacy,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
M/S MA ENTERPRISE,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Masum Store,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
MASUM TELECOM,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Tusar Electronics,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Satarupa Pharmacy And Chikitsaloy,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
Yeashir Store,Mithakhali- মংলা- বাংলাদেশ,মীতাখালী,মংলা,22.46764,89.66756
SABIKUNNAHAR PHARMACY,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
MAHIMA STORE,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Shomoy Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Likhon Telecom,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
MOLLIK SHOE AND VARIETIES STORE,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Ma Telecom,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Net Corner,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Momota Telecom,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
M/S RAFIN ENTERPRISE,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Hafiz Store,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
GAZI BIZ BHANDAR,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
MA TELECOM,College Road- বাগেরহাট সদর- বাংলাদেশ,শিয়ালকাঠি,বাগেরহাট সদর,22.70262,89.84244
Barun Pharmacy,Raenda- স্বরণখোলা- বাংলাদেশ,রায়েন্দা,স্বরণখোলা,22.29992,89.84794
GAZI RAHATUL STORE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Ma Garments And Cosmetics,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Gias Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
TOUCH MOBILE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Sopno Media And Studio,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
SINGER BANGLADESH,Old Dhaka Road- ফকিরহাট- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77408,89.71494
M/S Kamrul Telecom,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Nur Store,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Saimum Cos And Electronics,মোড়লগঞ্জ- খুলনা- বাংলাদেশ,মোড়লগঞ্জ,মোড়লগঞ্জ,22.45358,89.85153
Sikder Pharmacy,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Imam Telecom,Mansa- ফকিরহাট- বাংলাদেশ,মনসা,ফকিরহাট,22.78719,89.67835
KAZI PHOTOSTAT,Fokirhat Road- ফকিরহাট- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.74887,89.68112
ELEUS STORE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Hawladar Enterprise,Khanjahan Ali Mazar Road- বাগেরহাট- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.67147,89.76037
APAYON DEPARTMENTAL,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.65836,89.77065
M/S Humayun Traders,Putikhali- মোড়লগঞ্জ- বাংলাদেশ,মোড়লগঞ্জ,মোড়লগঞ্জ,22.53418,89.86831
M/S Sadia Medical Hall,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Rezaul Karim Store,শরনখোলা- স্বরণখোলা- খুলনা- বাংলাদেশ,শরনখোলা,স্বরণখোলা,22.31219,89.85099
AL HARAMAIN TRADERS,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
MONIR STORE,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Tanmoy Electronics,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Nahar Computer,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Azad Ali Sheikh Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
S T TRADERS,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Fatiha Telecom,Raenda- স্বরণখোলা- বাংলাদেশ,রায়েন্দা,স্বরণখোলা,22.29992,89.84794
Monowara Telecom And Stationary,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
STAR CABLE VISION,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Hafiz Telecom And Mobile Corner,মোড়েলগঞ্জ- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,মোড়েলগঞ্জ,মোড়লগঞ্জ,22.45366,89.84988
Fokirhat Telecom,Dak Banglor More- ফকিরহাট- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77397,89.7115
Zahid Enterprise,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S Kaium Store,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
PRIANKA MOBILE CENTER,Gotapara- বাগেরহাট সদর- বাংলাদেশ,গোটপারা,বাগেরহাট সদর,22.68844,89.80094
Satata Enterprise,Chingrakhali- শ্যামনগর- বাংলাদেশ,চিংরাখালিয়া,শ্যামনগর,22.29768,89.10388
RUBEL TELECOM,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79148,89.87604
M/S Maa Baba Motors,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Md Joynal Shaikh,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Green Telecom,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Tuba Varieties Store,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
Kakoli Store,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Manar Traders,মোড়েলগঞ্জ- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,মোড়েলগঞ্জ,মোড়লগঞ্জ,22.45366,89.84988
Howlader Enterprise,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
M/S EMA STORE,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Dujoy Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.65836,89.77065
Bayzid Store,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Juni Telecom,Mansa- ফকিরহাট- বাংলাদেশ,মনসা,ফকিরহাট,22.78719,89.67835
Ladis Corner,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
BHAI BHAI PHARMACY AND TELECOM,Nalbunia- স্বরণখোলা- বাংলাদেশ,নালবুনিয়া,স্বরণখোলা,22.35144,89.81963
Shamim Telecom,Raripara- কচুয়া- বাংলাদেশ,রারিপাড়া,কচুয়া,22.61471,89.8519
Nayon Store,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Shah Awliya Cofee And Bekary,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
MAMUN TELECOM,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
AFZAL STORE,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
TAHER SHOE STORE,Nalbunia- স্বরণখোলা- বাংলাদেশ,নালবুনিয়া,স্বরণখোলা,22.35144,89.81963
Esha Digital,Madrasa Market- Bagha College Road- বাঘা- বাংলাদেশ,বাঘা,বাঘা,24.1946,88.83971
Zakir Telecom,Nalbunia- স্বরণখোলা- বাংলাদেশ,নালবুনিয়া,স্বরণখোলা,22.35144,89.81963
Joykali Bostraloy.,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.65836,89.77065
Ideal Cosmetics,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
KHAN COMPUTER AND ONLINE CENTER,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
MOTOR CYCLE EMPORIUM,Khanjahan Ali Mazar Road- বাগেরহাট- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.67147,89.76037
Molla Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
LIPY ENTERPRISE,Sadar Road- বাগেরহাট সদর- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.71447,89.8452
Jonta Digital Studio,Digraj- মংলা- বাংলাদেশ,দিগরাজ,মংলা,22.53288,89.59026
ZAKIR STORE,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Habib Enterprise,Raripara- কচুয়া- বাংলাদেশ,রারিপাড়া,কচুয়া,22.61471,89.8519
M/S ISLAM ENTERPRISE,Agrani Bank-Dey Para Bazar- Sadar Road- বাগেরহাট সদর- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.71352,89.84369
T R Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Rupom Pharmacy,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Bahadur Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S Maa Enterprise,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Sanjana Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
NAYEEM STORE,Khanjahan Ali Mazar Road- বাগেরহাট- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.67147,89.76037
Pollob Electronics,Digraj- মংলা- বাংলাদেশ,দিগরাজ,মংলা,22.53288,89.59026
BHAI BHAI TELECOM,Tafalbari Bazar- Z7719- স্বরণখোলা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.26376,89.8299
Fahim Telecom And Bostraloy.,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Sahadat Store,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Brothers Telecom,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Vai Vai Telecom,Mulghar- ফকিরহাট- বাংলাদেশ,মুলগহর,ফকিরহাট,22.7809,89.69756
REYA TRADERS,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
MOHAMMAD ALI STORE,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
S Digital Studio,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Kamal Electronics,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Madina Telecom,Digraj- মংলা- বাংলাদেশ,দিগরাজ,মংলা,22.53288,89.59026
M/S MA MONI CYCLE STORE,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S Bismilla Store,Madrasa Road- মংলা- বাংলাদেশ,মংলা,মংলা,22.47191,89.60435
SOJEB STORE,Mithakhali- মংলা- বাংলাদেশ,মীতাখালী,মংলা,22.46764,89.66756
M/S Sadia Medical Hall,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
ANIMESH STORE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Police Lines Canteen,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S Shamim Enterprise,Hijla- চিতলমারী- বাংলাদেশ,হিজলা,চিতলমারী,22.79971,89.86722
M/S Emam Store,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
BABU ELECTRONICS AND TELECOM,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
RIPON STORE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Vhai Vhai Store,Raenda- স্বরণখোলা- বাংলাদেশ,রায়েন্দা,স্বরণখোলা,22.29992,89.84794
Anik Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
MORIOM AUTO,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Ohidul Telecom,Thana Road- মোল্লাহাট- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.93317,89.79947
Rongdhonu Computer And Digital Studio,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
MUNTASIR TELECOM,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
NABELA LIBRARY,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Vai Vai Electronics,মোড়লগঞ্জ- খুলনা- বাংলাদেশ,মোড়লগঞ্জ,মোড়লগঞ্জ,22.45358,89.85153
Ma Moni Electric And Kolpona Polli Phone,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Faraji Telecom,Badamtola More- বাগেরহাট- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.67524,89.76539
Bhai Bhai Store,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Maa Pharmacy,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
DESH ELECTRONICS,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
M/S  Halim Enterprise,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
SHAHIN TELECOM,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Alamin Store,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
SARDAR VARITIY STORE,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
Durjoy Telecom,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Tonni Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S SUNDARBAN GAS HOUSE,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
SHAKIB TELECOM,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
UTTARA BEKARI,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
M/S Sheikh Hardware,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Fariha Store,Hijla- চিতলমারী- বাংলাদেশ,হিজলা,চিতলমারী,22.79971,89.86722
Moriom Store,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
Taruni Varietie Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
ASIRBAD DIGITAL STUDIO AND PHOTOCOPY,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
MASUM STORE,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Sorowardy Cycle Store,Khanjahan Ali Mazar Road- বাগেরহাট- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.67147,89.76037
SARDER MUDIKHANA,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
S R ENTERPRISE,Fatehpur- বাগেরহাট সদর- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.62807,89.82532
M/S SHAN TRADERS,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Shapna Medical Hall,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Sraboni Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S SHAHADAT TRADERS,Mithakhali- মংলা- বাংলাদেশ,মীতাখালী,মংলা,22.46764,89.66756
ABDULLAH STORE,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Jisan Telecom And Gass House,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Satata Cosmetic,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Tushar Telecom,Kasimpur- রামপাল- বাংলাদেশ,কাশিমপুর,রামপাল,22.60328,89.76343
Ma Telecom,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Fahad Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
RUHANA TELECOM,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Rozina Store,Perikhali- রামপাল- বাংলাদেশ,পেরিখালী,রামপাল,22.5262,89.65318
SAHIN STORE,Baruipara- বাগেরহাট সদর- বাংলাদেশ,বারুইপাড়া,বাগেরহাট সদর,22.77999,89.7844
Arup Store,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
DIDAR TELECOM,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
